Letter_n,n,max_n,Letter_n+1,Freq
ण,8,8,-,32
अं,1,6,त्,1
त्,2,6,या,8
या,3,6,क्,1
ष,5,6,री,1
री,6,6,-,93
अं,1,5,त्,3
त्,2,5,ये,2
ये,3,5,ष्,2
ष्,4,5,टि,9
टि,5,5,-,10
ष्,4,5,टी,1
टी,5,5,-,16
अं,1,3,द,1
द,2,3,र,14
अं,1,5,द,1
द,2,5,र,12
र,3,5,खा,2
खा,4,5,ने,3
ने,5,5,-,38
अं,1,4,द,2
द,2,4,रु,1
रु,3,4,नी,1
नी,4,4,-,151
द,2,4,रू,1
रू,3,4,नी,1
अं,1,3,दा,3
दा,2,3,ज,1
ज,3,3,-,89
दा,2,3,जा,1
जा,3,3,-,32
दा,2,3,जे,1
जे,3,3,-,22
अं,1,2,ध,1
ध,2,2,-,20
अं,1,6,ध,3
ध,2,6,का,1
का,3,6,र,3
र,4,6,म,7
म,5,6,य,6
अं,1,3,ध,3
ध,2,3,ड़,1
ड़,3,3,-,28
ध,2,6,वि,2
वि,3,6,श्,4
श्,4,6,वा,3
वा,5,6,स,6
स,6,6,-,42
वा,5,6,सी,13
सी,6,6,-,18
अं,1,2,धा,1
धा,2,2,-,15
अं,1,4,धा,3
धा,2,4,धुं,3
धुं,3,4,ध,3
ध,4,4,-,37
अं,1,6,धा,1
धा,2,6,नु,1
नु,3,6,क,1
क,4,6,र,51
र,5,6,ण,73
ण,6,6,-,142
धा,2,4,प,1
प,3,4,न,19
अं,1,4,धि,3
धि,2,4,या,4
या,3,4,री,4
री,4,4,-,229
या,3,4,रे,5
रे,4,4,-,39
अं,1,2,धी,1
धी,2,2,-,12
अं,1,2,धे,1
धे,2,2,-,15
अं,1,4,धे,2
धे,2,4,प,1
अं,1,3,धे,5
धे,2,3,रा,1
धे,2,4,रि,1
रि,3,4,या,18
या,4,4,-,213
धे,2,3,री,1
धे,2,3,रे,1
धे,2,3,रों,2
अं,1,2,धों,1
धों,2,2,-,9
ध,2,3,ड़,2
ड़,3,3,-,58
अं,1,4,पा,2
पा,2,4,य,2
य,3,4,र,7
अं,1,5,पा,1
पा,2,5,य,1
य,3,5,रिं,2
रिं,4,5,ग,3
ग,5,5,-,54
य,3,4,रों,5
रों,4,4,-,163
अं,1,3,प्,1
प्,2,3,र,2
अं,1,3,बा,2
बा,2,3,र,2
अं,1,3,बु,1
बु,2,3,ज,1
अं,1,2,बे,1
बे,2,2,-,12
अं,1,5,र्,1
र्,2,5,त,8
त,3,5,ग,4
अं,1,8,र्,2
र्,2,8,त,5
त,3,8,ज,1
त,3,8,रा,4
अं,1,2,श,1
श,2,2,-,20
अं,1,5,श,3
श,2,5,का,2
का,3,5,लि,3
लि,4,5,क,3
क,5,5,-,285
का,3,5,ली,8
ली,4,5,न,8
श,2,5,दा,1
दा,3,5,ता,5
ता,4,5,ओं,26
ओं,5,5,-,78
अं,1,4,श,2
श,2,4,दा,2
दा,3,4,न,27
अं,1,3,शि,1
शि,2,3,का,3
अं,1,2,शी,1
शी,2,2,-,17
अं,1,2,शु,1
शु,2,2,-,5
अं,1,4,शु,1
शु,2,4,मा,2
मा,3,4,ली,3
ली,4,4,-,87
अं,1,2,शों,1
शों,2,2,-,7
अं,1,4,स,1
स,2,4,तो,1
तो,3,4,ष,4
ष,4,4,-,27
अं,1,4,ह,1
ह,2,4,का,6
अं,1,3,हि,1
हि,2,3,सा,1
सा,3,3,-,35
-,0,4,आं,12
आं,1,4,दो,4
दो,2,4,ल,3
ल,3,4,न,11
-,0,5,अ,474
अ,1,5,क,2
क,2,5,लि,1
लि,3,5,य,10
य,4,5,त,19
-,0,6,अ,184
अ,1,6,क,1
क,2,6,ल्,1
ल्,3,6,प,1
प,4,6,नी,1
नी,5,6,य,9
क,2,5,स्,2
स्,3,5,मा,1
मा,4,5,त,2
अं,1,4,का,1
का,2,4,व,6
व,3,4,ली,12
अ,1,5,का,2
का,2,5,द,2
द,3,5,मि,2
मि,4,5,क,10
-,0,4,अ,484
अ,1,4,का,4
का,2,4,द,3
द,3,4,मी,1
मी,4,4,-,28
का,2,4,र,9
र,3,4,ण,21
ण,4,4,-,80
अ,1,6,का,2
का,2,6,र्,1
र्,3,6,ब,2
ब,4,6,नि,1
नि,5,6,क,14
अ,1,3,का,1
का,2,3,ल,3
-,0,7,अ,74
अ,1,7,का,1
का,2,7,ल,1
ल,3,7,ग्,1
ग्,4,7,र,13
र,5,7,स्,10
स्,6,7,त,10
त,7,7,-,78
का,2,6,ल,3
ल,3,6,त,3
त,4,6,ख्,1
ख्,5,6,त,1
का,2,4,लि,1
-,0,5,आ,151
आ,1,5,का,4
का,2,5,श,3
श,3,5,दी,1
दी,4,5,प,11
प,5,5,-,44
अ,1,6,की,1
की,2,6,द,1
द,3,6,त,4
त,4,6,मं,6
मं,5,6,दों,3
दों,6,6,-,3
अ,1,3,कुं,1
कुं,2,3,श,1
अं,1,3,कु,1
कु,2,3,ल,8
अ,1,5,कु,1
कु,2,5,ला,1
ला,3,5,ह,5
ह,4,5,ट,11
ट,5,5,-,83
अ,1,4,कु,2
कु,2,4,श,2
श,3,4,ल,2
ल,4,4,-,265
अ,1,3,कू,1
कू,2,3,त,1
अ,1,5,के,2
के,2,5,ला,1
ला,3,5,प,5
प,4,5,न,27
अ,1,3,के,3
के,2,3,ली,1
के,2,3,ले,2
ले,3,3,-,106
अ,1,5,क्,6
क्,2,5,टू,1
टू,3,5,ब,1
ब,4,5,र,14
अ,1,4,क्,10
क्,2,4,रू,1
रू,3,4,र,3
अ,1,3,क्,3
क्,2,3,ल,2
क्,2,3,ष,8
क्,2,4,ष,26
ष,3,4,त,2
ष,3,4,म,2
क्,2,5,ष,15
ष,3,5,म,2
म,4,5,ता,6
ता,5,5,-,199
ष,3,5,म्,1
