Letter_n,n,max_n,Letter_n+1,Freq
यू,2,5,न,1
यू,2,6,नी,1
यू,2,5,मो,1
मो,3,5,नि,1
न्,1,5,यो,1
यो,2,5,छा,1
छा,3,5,व,2
न्,1,5,यौ,1
यौ,2,5,छा,1
-,0,3,प¨,3
प¨,1,3,र,3
र,2,3,दा,4
र,2,3,दे,2
-,0,3,पं,37
पं,1,3,क,1
क,2,3,ज,1
पं,1,3,क्,2
क्,2,3,ति,7
-,0,6,पं,11
पं,1,6,क्,1
क्,2,6,ति,4
ति,3,6,ब,3
-,0,4,पं,31
पं,1,4,क्,3
क्,2,4,ति,8
क्,2,3,षी,3
-,0,2,पं,24
पं,1,2,ख,1
पं,1,2,खा,1
पं,1,4,खु,2
खु,2,4,ड़ि,2
पं,1,3,खु,1
खु,2,3,ड़ी,1
पं,1,2,खे,1
पं,1,2,खें,1
पं,1,2,खों,1
पं,1,3,ग,1
पं,1,2,गा,1
पं,1,2,गु,1
गु,2,2,-,1
पं,1,3,गू,1
गू,2,3,ड़े,1
पं,1,3,गो,1
गो,2,3,ली,2
पं,1,2,च,1
पं,1,3,च,4
-,0,5,पं,19
पं,1,5,च,10
क,3,5,ठि,1
-,0,7,पं,3
पं,1,7,च,1
च,2,7,क,1
क,3,7,ल्,1
ल्,4,7,या,1
या,5,7,ण,1
ण,6,7,क,1
च,2,5,कुं,1
कुं,3,5,डी,1
डी,4,5,य,2
च,2,5,को,1
को,3,5,सी,1
च,2,5,क्,2
क्,3,5,रां,3
रां,4,5,ति,2
च,2,5,ग,2
ग,3,5,छि,1
छि,4,5,या,1
ग,3,5,व्,1
च,2,5,तं,1
च,2,5,त,1
त,3,5,त्,2
पं,1,4,च,9
च,2,4,ना,7
च,2,4,पा,2
च,2,3,म,1
च,2,5,मं,1
च,2,3,मी,1
च,2,4,मु,2
च,2,4,या,1
च,2,5,र,1
च,2,4,व,1
च,2,4,वी,1
पं,1,6,च,3
च,2,6,स्,2
था,4,6,नी,2
पं,1,2,चा,1
पं,1,3,चां,2
चां,2,3,ग,1
चां,2,3,गों,1
पं,1,4,चा,8
चा,2,4,य,6
पं,1,6,चा,5
चा,2,6,य,5
य,3,6,त,6
त,4,6,घ,1
घ,5,6,र,1
पं,1,5,चा,1
चा,2,5,य,1
पं,1,7,चा,2
चा,2,7,य,2
य,3,7,त,3
त,4,7,वा,1
त,4,7,स्,2
स्,5,7,त,6
-,0,8,पं,1
पं,1,8,चा,1
चा,2,8,य,1
य,3,8,त,2
त,4,8,स्,1
स्,5,8,त,4
त,6,8,री,4
य,3,6,ती,1
ती,4,6,रा,1
रा,5,6,ज,5
य,3,4,तें,4
य,3,4,तों,4
पं,1,5,चे,1
चे,2,5,श्,1
पं,1,2,चो,1
पं,1,2,चों,1
पं,1,3,छि,1
छि,2,3,यों,1
पं,1,2,छी,1
पं,1,2,जा,1
पं,1,3,जा,2
जा,2,3,ब,3
पं,1,5,जा,1
जा,2,5,बि,1
बि,3,5,य,2
पं,1,4,जा,1
जा,2,4,बि,1
पं,1,3,जि,1
जि,2,3,का,1
पं,1,4,जि,1
जि,2,4,का,1
पं,1,5,जी,1
पं,1,4,जी,1
जी,2,4,कृ,1
पं,1,3,जी,1
जी,2,3,री,1
पं,1,2,जे,1
पं,1,2,जों,1
पं,1,4,जो,1
जो,2,4,ख,1
ख,3,4,रा,1
पं,1,3,ट्,1
पं,1,2,डा,1
पं,1,3,डा,3
डा,2,3,ल,2
डा,2,3,लो,1
पं,1,3,डि,3
पं,1,4,डि,1
डि,2,4,त,1
त,3,4,जी,1
पं,1,5,डि,1
डि,2,5,त,1
डि,2,3,ता,2
डि,2,3,तों,2
पं,1,2,डे,1
पं,1,3,डो,1
डो,2,3,गा,1
पं,1,3,डौ,1
डौ,2,3,ल,2
पं,1,3,ड्,1
ड्,2,3,या,1
पं,1,2,त,1
पं,1,5,त,1
त,2,5,द्,1
द्,3,5,वी,3
वी,4,5,प,2
पं,1,2,थ,1
पं,1,3,थ,1
पं,1,2,थों,1
थों,2,2,-,4
पं,1,4,द्,1
पं,1,5,द्,2
पं,1,2,पों,1
पं,1,6,र,1
रा,4,6,ग,3
पं,1,2,सा,2
पं,1,3,सा,1
सा,2,3,री,2
पं,1,3,हु,5
हु,2,3,च,2
हु,2,3,चा,2
पं,1,4,हु,1
हु,2,4,चा,3
चा,3,4,या,3
पं,1,6,ड़,1
ड़,2,6,री,1
री,3,6,कृ,1
कृ,4,6,पा,1
-,0,3,प,338
प,1,3,कं,1
कं,2,3,ज,1
-,0,4,प,328
प,1,4,क,23
प,1,3,क,17
-,0,5,प,223
प,1,5,क,7
क,2,5,ड़,3
क,2,4,ड़,4
ड़,3,4,ता,2
ड़,3,4,ते,2
ड़,3,4,ना,1
ड़,3,5,वा,1
क,2,4,ड़ा,3
ड़ा,3,4,ए,1
ड़ा,3,4,ये,1
प,1,3,का,8
प,1,4,का,1
का,2,3,ये,2
प,1,2,के,1
प,1,3,के,1
के,2,3,गा,6
प,1,3,को,2
को,2,3,ड़ी,1
को,2,3,ड़े,2
प,1,3,कौ,5
कौ,2,3,ड़ी,1
कौ,2,3,ड़ा,2
कौ,2,3,ड़ी,1
प,1,3,क्,6
-,0,6,प,99
प,1,6,क्,2
क्,2,6,की,2
की,3,6,क,1
की,3,6,स,1
स,4,6,रा,1
रा,5,6,य,2
प,1,4,क्,4
प,1,5,क्,6
ष,3,5,का,3
ष,3,5,ध,2
-,0,8,प,24
प,1,8,क्,1
क्,2,8,ष,1
ष,3,8,पा,1
पा,4,8,त,1
त,5,8,पू,1
षा,3,5,घा,1
षि,3,4,यां,1
षि,3,4,यों,3
क्,2,4,षी,1
षी,3,4,य,3
क,2,5,ड़,7
प,1,6,क,1
क,2,6,ड़,4
वा,4,5,या,5
क,2,4,ड़ा,6
ड़ा,3,4,ए,1
क,2,5,ड़ा,1
ड़ा,3,5,क,1
ड़ा,3,4,ने,1
ड़ा,3,4,ये,1
क,2,4,ड़ें,1
क,2,4,ड़े,2
ड़े,3,4,गी,3
क,2,3,ड़ो,3
प,1,4,ख,7
ख,2,4,रौ,1
वा,3,4,ड़े,2
ड़े,4,4,-,2
वा,3,4,डे़,1
डे़,4,4,-,1
वा,3,4,ड़े,2
प,1,5,ग,2
ग,2,5,डं,2
डं,3,5,डि,2
डि,4,5,यां,1
प,1,4,ग,3
ग,2,4,डं,1
डं,3,4,डी,1
प,1,3,ग,4
ग,2,3,ड़ी,3
ग,2,4,बा,5
बा,3,4,धा,1
प,1,3,गा,1
ग,2,4,ड़ि,1
ड़ि,3,4,यां,7
प,1,3,घा,1
घा,2,3,री,2
प,1,3,च,3
प,1,4,च,3
च,2,4,प,2
च,2,4,म्,1
म्,3,4,बा,1
प,1,6,च,1
च,2,6,ह,1
ह,3,6,त्,1
प,1,2,चा,1
प,1,4,चां,1
चां,2,4,य,1
प,1,3,चा,3
चा,2,3,स,1
चा,2,3,सों,1
प,1,4,च्,2
च्,2,4,ची,1
ची,3,4,स,1
प,1,3,छ,1
छ,2,3,ता,2
प,1,4,छ,4
छ,2,4,ता,6
ता,3,4,वा,1
ता,3,4,वे,1
प,1,3,छा,4
छा,2,3,ड़ा,1
छा,2,3,ड़,1
प,1,5,छा,1
छा,2,5,ड़,1
प,1,4,छा,2
छा,2,4,ड़,2
छा,2,3,ड़ा,1
प,1,4,छि,1
प,1,3,छु,2
प,1,3,जा,1
जा,2,3,मा,2
प,1,3,ट,11
प,1,5,ट,2
प,1,4,ट,11
क,3,4,नी,4
ट,2,4,रा,1
ट,2,5,वा,7
प,1,5,टा,1
टा,2,5,क्,2
क्,3,5,षे,3
षे,4,5,प,3
प,1,3,टा,7
टा,2,3,खे,1
टा,2,3,खें,1
खें,3,3,-,4
टा,2,3,खों,1
प,1,2,टे,1
प,1,3,टे,1
टे,2,3,ल,1
प,1,3,टो,1
प,1,3,ट्,5
ट्,2,3,ट,1
प,1,6,ट्,2
ट्,2,6,टा,2
टा,3,6,धा,1
प,1,4,ट्,2
टि,3,4,का,1
प,1,5,ट्,6
ट्,2,5,टी,2
टी,3,5,दा,2
ट्,2,5,टे,7
टे,3,5,दा,2
ट्,2,6,टे,1
टे,3,6,धा,1
प,1,3,ठ,1
प,1,4,ठ,1
ठ,2,4,नी,1
प,1,3,ठा,3
ठा,2,3,र,1
ठा,2,3,री,1
प,1,4,ड,1
ड,2,4,ता,1
प,1,2,ड़,1
प,1,4,ड़,2
प,1,3,ड़,5
ड़,2,4,ता,3
प,1,3,ड़ा,1
प,1,2,ड़ी,1
प,1,2,ड़े,1
प,1,3,ड़ें,1
प,1,3,ड़े,2
प,1,3,ड़ो,2
ड़ो,2,3,स,1
प,1,4,ड़ो,1
ड़ो,2,4,सि,1
ड़ो,2,3,सी,1
प,1,2,डा,1
प,1,2,डी़,1
प,1,2,डे़,1
प,1,3,डे़ं,1
प,1,3,डे़,2
डे़,2,3,गी,2
प,1,2,ढ़,1
प,1,4,ढ़,3
प,1,3,ढ़,7
ढ़,2,3,त,3
ढ़,2,3,ती,4
प,1,5,ढ़,2
ढ़,2,5,ने,2
प,1,2,ढ़ा,1
प,1,3,ढ़ा,14
प,1,4,ढ़ा,5
ढ़ा,2,4,ए,4
ढ़ा,2,3,ओ,2
ढ़ा,2,3,ओं,1
ढ़ा,2,3,यें,2
ढ़ा,2,4,यें,2
प,1,2,ढ़ी,1
प,1,2,ढ़ीं,1
प,1,2,ढ़े,1
प,1,3,ढ़ें,2
ढ़ें,2,3,गी,2
प,1,3,ढ़े,2
प,1,2,ढ़ो,1
ढ़ो,2,2,-,3
प,1,3,ढ़ो,1
ढ़ो,2,3,गे,1
प,1,3,ढा़,1
ढा़,2,3,ई,1
प,1,2,ढें,2
ढें,2,2,-,2
प,1,2,ढे़,1
प,1,2,ढे़ं,1
ढे़ं,2,2,-,1
प,1,4,ण्,3
ण्,2,4,डा,8
डा,3,4,ल,2
डा,3,4,लों,1
प,1,3,तं,5
तं,2,3,ग,1
प,1,5,तं,3
तं,2,5,ग,3
ग,3,5,बा,3
तं,2,3,गा,1
तं,2,3,गे,1
तं,2,3,गें,1
तं,2,3,गों,1
प,1,4,तं,1
तं,2,4,ज,1
प,1,4,त,5
त,2,4,जं,1
जं,3,4,लि,1
त,2,4,झ,1
झ,3,4,ड़,1
प,1,3,त,5
प,1,5,त,1
र,3,5,घ,1
घ,4,5,ट,1
त,2,3,ला,4
त,2,3,लू,1
त,2,4,लू,1
लू,3,4,न,1
वा,3,4,ड़ी,5
प,1,2,ता,1
प,1,4,तां,1
प,1,3,ता,4
ता,2,3,का,1
ता,2,3,कों,1
ता,2,3,ही,1
प,1,2,ति,1
प,1,3,ति,2
प,1,4,ति,1
ति,2,4,रा,2
प,1,5,ति,1
ति,2,5,व्,1
प,1,3,ती,3
ती,2,3,ला,1
ती,2,3,ले,1
ती,2,3,सा,1
प,1,2,ते,1
प,1,2,तों,1
प,1,3,तौ,1
तौ,2,3,ड़ा,1
प,1,4,त्,11
प,1,3,त्,10
प,1,5,त्,9
त्,2,5,ता,10
ता,3,5,गो,1
गो,4,5,भी,1
ते,3,5,दा,5
त्,2,3,तो,3
थ,3,4,र,1
प,1,6,त्,7
त्,2,6,थ,4
थ,3,6,र,4
बा,5,6,जों,2
जों,6,6,-,3
थ,3,4,रों,1
त्,2,3,नि,1
त्,2,4,नि,1
त्,2,3,नी,1
प,1,8,त्,1
त्,2,8,र,1
र,3,8,का,1
का,4,8,र,1
र,5,8,वा,2
वा,6,8,र्,1
रि,5,6,ता,1
रां,3,4,क,1
रा,3,5,चा,1
त्,2,6,रा,2
त्,2,5,रि,4
रि,3,5,का,2
का,4,5,एं,6
का,4,5,ओं,9
प,1,3,थ,3
प,1,6,थ,2
थ,2,6,प्,1
थ,2,6,भ्,1
र,4,6,ष्,1
प,1,5,थ,1
थ,2,5,र,1
गा,4,5,मा,1
थ,2,3,रा,2
प,1,4,थ,6
थ,2,4,रा,3
रा,3,4,ही,2
थ,2,3,री,1
थ,2,4,री,2
री,3,4,ली,1
री,3,4,ले,2
थ,2,4,स,1
प,1,5,था,1
था,2,5,व,1
प,1,3,थि,2
थि,2,3,क,1
थि,2,3,कों,1
प,1,2,थों,1
प,1,3,द,4
द,2,3,कों,2
प,1,5,द,15
द,2,5,क्,1
प,1,6,द,4
द,2,6,ग्,1
प,1,4,द,7
द,2,4,चा,1
द,2,5,चि,4
चि,3,5,न्,2
न्,4,5,हों,1
चि,3,5,ह्,2
ह्,4,5,नों,1
द,2,5,त्,1
द,2,5,धा,2
द,2,4,भा,3
म,3,5,श्,2
द,2,5,मा,3
मि,3,4,नी,3
द,2,5,मु,1
द,2,6,या,1
द,2,3,वी,1
द,2,4,स्,5
द,2,6,स्,3
प,1,6,दा,5
दा,2,6,धि,4
धि,3,6,क,3
क,4,6,रि,1
प,1,5,दा,6
दा,2,5,धि,3
धि,3,5,क,2
क,4,5,री,1
-,0,7,प,37
प,1,7,दा,3
दा,2,7,धि,3
धि,3,7,का,3
का,4,7,रि,2
रि,5,7,यों,2
यों,6,7,को,1
को,7,7,-,1
का,4,6,री,1
री,5,6,यों,1
दा,2,5,भि,1
भि,3,5,हि,1
प,1,4,दा,5
दा,2,4,र्,5
र्,3,4,थाें,1
थाें,4,4,-,1
र्,3,4,थों,2
दा,2,5,र्,1
र्,3,5,प,4
दा,2,5,व,1
व,3,5,न,1
न,4,5,ति,3
दा,2,6,स्,1
प,1,2,दो,1
प,1,2,दों,1
प,1,5,दो,2
दो,2,5,न्,2
न्,3,5,न,7
प,1,6,दो,2
दो,2,6,न्,2
न्,3,6,न,3
न,4,6,ति,3
ति,5,6,यां,6
प,1,4,द्,4
द्,2,4,घ,1
घ,3,4,ति,1
द्,2,4,ध,4
ध,3,4,ति,1
प,1,5,द्,8
द्,2,5,ध,14
ध,3,5,ति,2
द्,2,5,म,3
म,3,5,ना,5
ना,4,5,भ,2
प,1,6,द्,3
द्,2,6,म,3
म,3,6,भू,1
म,3,6,लो,2
लो,4,6,च,2
प,1,7,द्,1
द्,2,7,म,1
वि,4,7,भू,1
भू,5,7,ष,2
द्,2,5,मा,3
व,4,5,त,6
मा,3,5,स,1
द्,2,4,मे,1
मे,3,4,श,1
प,1,3,द्,1
द्,2,4,व,2
व,3,4,ति,1
प,1,4,धा,2
धा,2,4,र,7
प,1,3,धा,4
धा,2,3,रीं,1
धा,2,4,रें,2
धा,2,3,रो,2
प,1,3,न,4
प,1,4,न,9
घ,3,4,ट,2
प,1,5,न,2
न,2,5,डु,1
डु,3,5,ब्,1
ब्,4,5,बी,1
न,2,3,पा,1
न,2,3,पे,1
पे,3,4,गा,1
न,2,5,बि,1
बि,3,5,ज,1
ज,4,5,ली,2
न,2,4,शा,1
प,1,3,ना,1
प,1,5,ना,2
प,1,4,नि,1
प,1,3,नी,1
नी,2,3,र,1
प,1,3,न्,4
न्,2,3,त,5
प,1,5,न्,2
प,1,4,न्,2
न्,2,4,नि,2
प,1,4,प,1
प,2,4,रो,1
रो,3,4,ला,1
प,1,3,पी,2
पी,2,3,ता,1
पी,2,3,ते,1
प,1,4,प्,1
प,1,3,प,1
प,1,3,म्,2
प,1,5,र¨,1
र¨,2,5,व,1
व,3,5,द्,1
प,1,3,रं,1
रं,2,3,तु,1
प,1,4,रं,1
रं,2,4,प,2
प,3,4,रा,2
प,1,5,रं,2
रं,2,5,प,3
प,3,5,रा,3
रा,4,5,एं,1
रा,4,5,ओं,2
प,1,6,रं,1
रं,2,6,प,1
प,1,7,रं,1
रं,2,7,प,1
प,3,7,रा,1
रा,4,7,नु,1
प,1,3,र,17
र,2,3,ख,4
प,1,5,र,24
ख,3,5,क,1
प,1,4,र,32
ख,3,4,चे,1
चे,4,4,-,1
ख,3,4,ते,2
ख,3,4,ने,2
र,2,3,खीं,1
खीं,3,3,-,1
र,2,3,खें,1
र,2,4,खें,1
खें,3,4,गे,1
र,2,4,खे,1
खे,3,4,गी,1
ग,3,4,ना,5
र,2,4,च,2
र,2,3,चा,2
र,2,3,ची,1
र,2,4,चू,1
चू,3,4,न,1
र,2,3,चे,1
र,2,4,छा,1
दा,3,4,दा,1
दा,3,4,दी,1
र,2,5,दे,3
शि,4,5,यों,3
दे,3,5,सि,1
र,2,5,ना,1
र,2,4,नी,1
न्,3,4,तु,1
तु,4,4,-,2
र,2,4,पं,6
पं,3,4,रा,1
प,1,6,र,12
र,2,6,पं,1
पं,3,6,रा,1
र,2,5,फा,1
फा,3,5,र्,1
र,2,6,फॉ,1
फॉ,3,6,र्,1
र्,4,6,में,2
में,5,6,स,2
म,3,5,पि,1
पि,4,5,ता,1
म,3,6,पु,2
पु,4,6,र,1
र,5,6,वा,1
म,3,6,पू,2
पू,4,6,ज्,1
ज्,5,6,य,1
सं,4,5,त,1
म,3,5,सु,2
सु,4,5,ख,2
म,3,5,हं,2
हं,4,5,स,2
प,1,8,र,2
र,2,8,म,1
म,3,8,हं,1
हं,4,8,सा,1
सा,5,8,श्,1
श्,6,8,र,1
र,7,8,म,1
म,8,8,-,2
प,1,7,र,4
र,2,7,मा,7
मा,3,7,त्,1
त्,4,7,मा,1
मा,5,7,नं,1
नं,6,7,द,2
मा,3,6,दि,1
दि,4,6,त्,1
त्,5,6,य,1
र,2,6,मे,2
मे,3,6,श्,2
व,5,6,री,3
र,2,6,मो,3
मो,3,6,ध,1
र,2,5,म्,5
म्,3,5,प,1
प,4,5,रा,1
र,2,6,म्,4
म्,3,6,प,3
प,4,6,रा,2
रा,5,6,एं,2
र,2,7,म्,1
म्,3,7,प,1
रा,5,7,ग,1
र,2,8,म्,2
म्,3,8,प,1
प,4,8,रा,1
रा,5,8,नु,1
नु,6,8,सा,1
सा,7,8,र,1
र,2,7,व,1
व,3,7,र,1
र,4,7,दि,1
दि,5,7,गा,1
गा,6,7,र,1
व,3,5,रि,2
रि,4,5,श,1
र,2,3,सों,3
सौ,3,4,ली,2
र,2,6,स्,14
स्,3,6,थि,7
थि,4,6,ति,5
र,2,4,हि,1
र,2,4,हे,1
हे,3,4,ज,1
प,1,3,रां,2
रां,2,3,ठा,1
प,1,3,रा,9
प,1,5,रा,6
रा,2,5,क्,3
र,4,5,मी,2
प,1,4,रा,6
रा,2,4,ग,2
रा,2,4,जि,2
रा,2,3,ठा,2
रा,2,5,धी,1
धी,3,5,न,2
र्,4,5,श,2
प,1,8,रा,2
रा,2,8,म,2
म,3,8,र्,2
र्,4,8,श,3
श,5,8,दा,2
दा,6,8,ता,1
दा,6,8,त्,1
य,3,4,ण,3
रा,2,5,य,2
य,3,5,ण,1
ण,4,5,ता,4
रा,2,4,स्,1
प,1,6,रा,2
रा,2,6,स्,1
स्,3,6,ना,1
ना,4,6,त,2
प,1,3,रिं,3
प,1,6,रि,29
रि,2,6,क,1
क,3,6,ल्,2
ल्,4,6,प,2
प,5,6,ना,1
प,1,7,रि,8
रि,2,7,क्,3
क्,3,7,र,1
मा,5,7,र्,1
र्,6,7,थी,2
थी,7,7,-,2
प,1,5,रि,45
षा,4,7,र्,3
रि,2,6,क्,1
रि,2,5,ग्,1
प,1,4,रि,33
रि,2,4,च,1
रि,2,7,च,2
च,3,7,य,1
य,4,7,प,1
च,3,7,या,1
रि,2,5,च,2
रि,2,5,चा,8
चा,3,5,य,1
रि,2,4,चा,1
चा,3,5,लि,2
रि,2,4,चि,2
रि,2,4,ज,5
ज,3,4,नो,1
रि,2,4,जा,2
रि,2,4,ण,1
रि,2,4,णा,2
णा,3,4,म,2
प,1,8,रि,7
रि,2,8,णा,2
णा,3,8,म,2
म,4,8,स्,3
स्,5,8,व,5
व,6,8,रु,1
रु,7,8,प,1
प,8,8,-,5
व,6,8,रू,4
रू,7,8,प,4
णा,3,4,मों,1
रि,2,4,णि,2
णि,3,4,त,2
णि,3,4,ता,1
रि,2,4,णी,1
णी,3,4,ति,1
रि,2,6,द,2
रि,2,5,दृ,1
दृ,3,5,श्,1
रि,2,4,धा,2
धा,3,4,न,5
धा,3,4,नों,4
प,1,3,रि,3
रि,2,3,धि,1
रि,2,5,नि,1
रि,2,6,नि,1
र्,4,6,वा,3
वा,5,6,ण,2
रि,2,6,प,2
क्,4,6,व,1
रि,2,4,प,4
रि,2,5,पा,1
रि,2,5,पू,1
रि,2,5,पे,1
रि,2,7,प्,1
क्,5,7,ष्,2
ष्,6,7,य,1
रि,2,4,भा,1
भा,3,4,षा,5
रि,2,5,भा,1
भा,3,5,षि,1
रि,2,6,भ्,1
रि,2,4,मा,1
रि,2,5,यो,1
रि,2,6,यो,2
यो,3,6,ज,2
ज,4,6,ना,2
-,0,9,प,2
प,1,9,रि,1
रि,2,9,यो,1
यो,3,9,ज,1
ज,4,9,ना,1
ना,5,9,क,2
क,6,9,र्,7
र्,7,9,मि,4
मि,8,9,यों,4
रि,2,8,यो,2
यो,3,8,ज,2
ज,4,8,ना,2
ना,5,8,क,2
रि,2,6,र,1
रि,2,6,र्,1
व,4,6,त,2
र्,4,6,त,7
रि,2,8,व,2
व,3,8,र्,2
र्,4,8,त,2
त,5,8,न,2
त,5,6,नों,1
रि,2,5,व,1
रि,2,5,वा,4
दि,4,5,यों,5
रि,2,4,वा,4
वा,3,4,दों,1
रि,2,6,वा,7
र,4,6,ज,2
वा,3,6,री,2
री,4,6,ज,2
रि,2,5,वी,1
वी,3,5,क्,1
रि,2,5,वे,1
वे,3,5,द,1
द,4,5,ना,1
रि,2,5,व्,2
व्,3,5,य,3
य,4,5,य,4
रि,2,5,शि,1
रि,2,5,शो,1
रि,2,5,श्,2
रि,2,4,ष,2
रि,2,5,ष,1
रि,2,5,ष्,2
ष्,3,5,कृ,2
रि,2,4,सं,1
रि,2,6,सं,1
रि,2,7,सं,2
सं,3,7,प,2
रि,2,5,सं,2
रि,2,4,स,3
रि,2,4,से,1
रि,2,5,स्,4
थि,4,6,त,1
त,5,6,यों,1
रि,2,5,ह,2
ह,3,5,व,2
रि,2,4,हा,2
हा,3,4,री,10
प,1,2,री,1
प,1,5,री,8
प,1,4,री,2
री,2,4,क्,1
प,1,7,री,5
री,2,7,क्,5
षा,4,7,कें,2
कें,5,7,द्,2
द्,6,7,र,3
प,1,6,री,3
री,2,6,क्,4
षा,4,6,फ,2
फ,5,6,लों,1
षा,4,5,यें,1
यें,5,5,-,3
षा,4,6,र्,1
री,2,4,चौ,1
चौ,3,4,क,1
प,1,2,रे,1
प,1,3,रे,1
रे,2,3,ड,1
प,1,4,रे,2
रे,2,4,शा,2
प,1,5,रे,2
रे,2,5,शा,2
शा,3,5,नि,2
शा,3,4,नी,2
प,1,4,रो,4
रो,2,4,क्,1
प,1,5,रो,3
रो,2,5,प,2
प,3,5,का,5
रो,2,5,स,1
रो,2,4,स,3
प,1,3,रो,3
रो,2,3,सा,2
रो,2,3,सी,1
रो,2,3,से,2
प,1,3,र्,13
प,1,6,र्,9
र्,2,6,चा,1
चा,3,6,धा,1
प,1,5,र्,11
र्,2,5,चा,2
प,1,4,र्,6
चि,3,4,यों,3
र्,2,3,चो,3
चो,3,3,-,5
र्,2,3,त,3
र्,2,5,दा,8
दा,3,5,न,2
न,4,5,शी,1
न,4,5,शीं,1
शीं,5,5,-,1
दा,3,5,फा,2
फा,4,5,स,1
र्,2,3,दे,2
र्,2,4,यं,1
य,3,5,ट,3
प,1,8,र्,10
य,3,8,ट,3
न,5,8,न,1
ग,7,8,री,1
न,5,8,स्,2
थ,7,8,लों,1
प,1,7,र्,8
य,3,7,वे,5
वे,4,7,क्,5
य,3,8,वे,4
वे,4,8,क्,4
क्,5,8,ष,2
ष,6,8,की,1
की,7,8,य,1
षि,6,7,का,1
षि,6,8,का,2
का,7,8,एं,1
एं,8,8,-,2
क्,5,7,षी,2
षी,6,7,य,3
या,3,5,प्,1
या,3,6,य,1
य,4,6,वा,3
वा,5,6,ची,1
ची,6,6,-,2
या,3,6,व,3
व,4,6,र,2
र्,2,8,या,3
या,3,8,व,3
व,4,8,र,3
र,5,8,ण,3
ण,6,8,वि,3
वि,7,8,द,1
द,8,8,-,1
वि,7,8,दों,1
दों,8,8,-,1
वि,7,8,द्,1
द्,8,8,-,1
व,4,7,र,1
र,5,7,णी,2
णी,6,7,य,2
व,3,6,त,8
त,4,6,मा,2
मा,5,6,ला,1
ता,4,7,रो,2
रो,5,7,ह,1
हि,6,7,यों,2
व,3,6,ता,3
ता,4,6,रो,1
रो,5,6,ही,1
व,3,5,ती,1
र्,2,3,वो,1
वो,3,3,-,1
र्,2,3,वों,1
प,1,3,लं,1
लं,2,3,ग,1
प,1,3,ल,13
प,1,5,ल,2
प,1,4,ल,8
ल,2,4,ट,7
ट,3,5,वा,1
ल,2,3,टे,2
ल,2,3,ड़ा,1
प,1,4,ला,1
प,1,3,ला,1
प,1,5,ला,1
ला,2,5,स्,3
प,1,3,ली,1
ली,2,3,ता,1
प,1,2,लों,1
प,1,4,ल्,3
ल्,2,4,ट,1
प,1,3,ल्,3
ल,3,4,व,1
प,1,5,ल्,3
ले,3,5,दा,3
प,1,6,ल्,1
ल्,2,6,स,1
स,3,6,पो,2
पो,4,6,लि,1
लि,5,6,यो,1
ल,2,3,ड़ा,1
प,1,3,व,1
प,1,5,व,2
प,1,6,व,2
न,3,6,पु,1
न,3,6,प्,1
न,3,5,सु,1
सु,4,5,त,1
प,1,4,वि,1
वि,2,4,त्,2
प,1,5,वि,1
वि,2,5,त्,1
प,1,4,श,1
मी,3,4,ना,2
प,1,2,शु,1
प,1,3,शु,2
शु,2,3,ओ,1
शु,2,3,ओं,2
प,1,6,शु,5
शु,2,6,क्,1
क्,3,6,रू,1
रू,4,6,र,1
प,1,4,शु,10
शु,2,4,च,1
शु,2,4,चा,2
चा,3,4,रा,3
चा,3,4,रे,3
प,1,7,शु,2
शु,2,7,चि,1
चि,3,7,कि,3
कि,4,7,त्,3
स,6,7,क,2
शु,2,6,चि,1
चि,3,6,कि,2
कि,4,6,त्,2
त्,5,6,सा,2
सा,6,6,-,2
प,1,9,शु,1
शु,2,9,चि,1
चि,3,9,कि,1
कि,4,9,त्,1
त्,5,9,सा,1
सा,6,9,धि,1
प,1,8,शु,1
शु,2,8,चि,1
चि,3,8,कि,1
कि,4,8,त्,1
त्,5,8,सा,1
सा,6,8,ल,1
शु,2,4,ध,1
शु,2,6,प,1
प,3,6,ति,1
ति,4,6,ना,1
प,1,5,शु,5
शु,2,5,पा,2
ल,4,5,कों,4
शु,2,4,ब,1
शु,2,4,बा,2
बा,3,4,ड़े,1
शु,2,5,मि,1
मि,3,5,त्,5
शु,2,4,लो,1
शु,2,4,व,1
व,3,4,ध,1
शु,2,6,व,1
व,3,6,ध,2
ध,4,6,शा,2
शु,2,5,शा,1
शा,3,5,ला,4
प,1,4,श्,5
श्,2,4,चा,2
चा,3,4,त,1
चा,3,4,त्,1
चि,3,4,म,1
प,1,6,श्,2
श्,2,6,चि,2
चि,3,6,म,2
म,4,6,पु,2
म,4,6,बं,1
बं,5,6,ग,1
प,1,7,श्,2
श्,2,7,चि,2
चि,3,7,म,1
म,4,7,श,2
श,5,7,री,2
री,6,7,रा,1
रा,7,7,-,2
चि,3,4,मी,1
चि,3,7,मो,1
प,1,3,सं,1
सं,2,3,द,3
प,1,4,सं,1
सं,2,4,दी,2
दी,3,4,दा,2
प,1,3,स,4
प,1,4,स,3
प,1,3,सा,2
प,1,4,सा,4
सा,2,4,र,4
सा,2,3,रा,1
प,1,3,सी,5
सी,2,3,जा,2
सी,2,3,जे,1
सी,2,3,ना,2
सी,2,3,ने,1
प,1,3,स्,1
प,1,3,हं,2
हं,2,3,ची,1
हं,2,3,चे,1
प,1,4,ह,27
ह,2,4,चा,7
चा,3,4,न,1
प,1,6,ह,1
ह,2,6,चा,1
चा,3,6,न,1
न,4,6,क,1
प,1,7,ह,2
